name,owner,phone,website,email,logo,street,city,zip_code
Fitness Hell,Sascha Hell,+41 61 781 29 60,wwww.wisdom-health.ch,info@wisdom-health.ch,,Alice Vogt-Strasse 2,Breitenbach,4226
Physio Aktiv GmbH,,+41 41 760 50 03,www.physio-aktiv.ch,info@physio-aktiv.ch,,Bahnhofpark 2,Baar,6340
Gesundheitszentrum Promotion AG,Ralph Castelberg,+41 31 370 80 92,www.gesundheitszentrum-promotion.ch,physio@gesundheitszentrum-promotion.ch,https://admin.fitness-classification.ch//storage/media/84/624b10a4cc407.png,Chutzenstrasse 24,Bern,3007
Dedication Gym AG,,+41 34 445 60 60,www.dedicationgym.ch,info@dedicationgym.ch,https://admin.fitness-classification.ch//storage/media/118/624b1770e1338.png,Eystrasse 62,Kirchberg BE,3422
Chili Health Hombrechtikon,Marcus Lang,+41 55 525 70 30,www.chili-health.ch,hombrechtikon@chili-health.ch,https://admin.fitness-classification.ch//storage/media/346/624c24e668350.jpg,Im Zentrum 10,Hombrechtikon,8634
ATHENA FITNESSPARK,Marcel Pesse,+41 32 623 70 55,athena-fitnesspark.ch,info@athena-fitnesspark.ch,,Hans-Huber-Strasse 36,Solothurn,4502
Athena Fitnesspark,Marc Zanetti,+41 32 675 42 41,www.athena-fitnesspark.ch,recherswil@athena-fitnesspark.ch,,Steinacker 13a,Recherswil,4565
Athletic Fitness AG,Pascal Baschung,+41 26 670 54 20,www.athletic.ch,info@athletic.ch,https://admin.fitness-classification.ch//storage/media/100/624b13e6d4544.jpg,Freiburgstrasse 23,Murten,3280
Fitness Connection Sursee,David Kuoni,+41 41 921 77 19,sursee.fitnessconnection.ch,info@fitnessconnectionsursee.ch,,Sandgruebestrasse 4,Sursee,6210
Zenith Gesundheitszentrum Physiotherapie GmbH,Thomas Tholey,+41 62 897 08 80,www.zenith-gesundheit.ch,info@zenith-gesundheit.ch,https://admin.fitness-classification.ch//storage/media/237/624c1972ea07a.jpg,Hauptstrasse 7c,Hunzenschwil,5502
The White Rabbit - Health Club & Personal Training,Georg Bielmann,+41 31 351 50 52,www.thewhiterabbit.ch,carrots@thewhiterabbit.ch,,Thunstrasse 7,Bern,3005
Tom's Training,Thomas Nacht,+41 31 761 33 60,www.toms-training.ch,info@toms-training.ch,https://admin.fitness-classification.ch//storage/media/105/624b14d840a9b.jpg,Bernstrasse 41,Jegenstorf,3303
Fit Inform GmbH,Ursula Christener,+41 55 525 80 30,www.fitinform.ch,info@fitinform.ch,,Rötlistrasse 34,Benken SG,8717
Fitnesscenter Turgi,Tobias Schumann,+41 56 223 37 27,www.fitnesscenter-turgi.ch,info@fitnesscenter-turgi.ch,,Landstrasse 44,Turgi,5300
Vitafit Training,Tarzisi Arpagaus,+41 81 925 23 43,www.vitafit.ch,info@vitafit.ch,,Via Santeri 9a,Ilanz,7130
SYNERGY Fitness + Physio,,+41 31 771 30 20,www.synergy-fitness.ch,info@phys-io.ch,,Burgdorfstrasse 36,Oberdiessbach,3672
David Gym 47,,+41 43 311 20 50,www.davidgym.ch,info47@davidgym.ch,https://admin.fitness-classification.ch//storage/media/280/624c1e246fcb3.jpg,Albisriederstrasse 199a,Zürich,8047
Extrem Fitness,,079 861 72 00,www.extrem-fitness-jura.ch,p.scari@bluewin.ch,https://admin.fitness-classification.ch//storage/media/403/624c29c20638d.jpg,St-Randoald 32,Delémont,2800
Gesundheitszentrum Liestal,Johannes Scherzinger,+41 61 921 70 45,www.gesundheitszentrum-liestal.ch,info@gesundheitszentrum-liestal.ch,https://admin.fitness-classification.ch//storage/media/493/63e23cf576253.png,Zeughausgasse 41,Liestal,4410
Fabelhaftfitness für Frauen GmbH,Jean-Michel Wolownik,+41 61 423 00 62,www.fabehaft-fitness.ch,hello@fabelhaft-fitness.ch,,Paradiesstrasse 2,Binningen,4102
PHYSIOFIT SCHÖNBERG,Daniel Schoonbroodt,+41 33 251 30 07,www.physiofit-schoenberg.ch,physiofit@schoenberg.ch,,Sigriswilstrasse 3,Gunten,3654
Diis Fitness AG,Patrizia Vogel,+41 43 534 09 16,www.diisfitness.ch,info@diisfitness.ch,https://admin.fitness-classification.ch//storage/media/360/624c2624cb809.jpg,Grossmattstrasse 9,Urdorf,8902
MedAction,Andreas Neeser,+41 55 410 72 20,www.medaction.ch,pfaeffikon@medaction.ch,https://admin.fitness-classification.ch//storage/media/355/624c25bfa7a4a.png,Huobstrasse 5,Pfäffikon SZ,8808
Fitness Come On,,+41 21 781 30 80,www.comeonfitness.ch,info@comeonfitness.ch,,Rue de la Mortigue 1,Forel (Lavaux),1072
Anatis Fitness Club,,+41 21 732 11 33,anatis.ch,patrice.malard@bluewin.ch,,Ch. ds Dailles 16,Cugy VD,1053
Aemme Fit GmbH,Roman Blaser,+41 34 461 72 00,aemmefit.ch,luetzelflueh@aemmefit.ch,,Bahnhofstrasse 19 - 21,Lützelflüh-Goldb,3432
Blue Fit Club Sarl,Pascal Mazzuchetti,+41 24 445 27 57,www.bluefitclub.ch,mazzuchettip@hotmail.com,,Centre en Charmand 41c,Montagny-Yverdon,1442
Daily-Fit 365 GmbH,,+41 71 545 20 90,www.daily-fit.ch,serviceteam@daily-fit.ch,,Bahnhofstrasse 54a,Romanshorn,8590
Fitnessbetriebe Schönthal AG,,+41 61 901 72 82,fitin-fitness.ch,info@fitin-fitness.ch,,Hammerstrasse 51,Liestal,4410
Harmony Eaux-Vives,Maxime Tognon,+41 22 800 00 01,www.harmony.ch,eaux-vives@harmony.ch,,Rue du Nant 10,Genève,1207
Harmony Veyrier,Elodie Rimonteil,+41 22 752 54 54,www.harmony.ch,veyrier@harmony.ch,,Avenue du Grand Salève 4,Veyrier,1255
L!FE Swiss Health Club Rheinfelden,Anne-Kathrin Wilm,+41 61 813 38 69,www.life-swiss-healthclub.ch,info@life-swiss-healthclub.ch,https://admin.fitness-classification.ch//storage/media/189/624b210cde707.png,Baslerstrasse 8,Rheinfelden,4310
Physio- und Trainingstherapie Schüpfen,,+41 31 879 06 77,www.pt-s.ch,info@pt-s.ch,,Dorfstrasse 1,Schüpfen,3054
Van der Merwe Center,Lea Van der Merwe,+41 61 487 98 98,www.vandermerwe.ch,info@vandermerwe.ch,https://admin.fitness-classification.ch//storage/media/148/624b1b9380f19.png,Gewerbestrasse 30,Allschwil,4123
SCHNEIDER Gesundheit GmbH,Andrea Balde,+41 31 741 15 51,www.schneider-gesundheit.ch,info@schneider-gesundheit.ch,https://admin.fitness-classification.ch//storage/media/430/62b98acb1febc.jpg,Bernstrasse 34,Flamatt,3175
Gesundheitspark Thalwil AG,,+41 43 388 41 41,www.gesundheitspark.ch,info@gesundheitspark.ch,https://admin.fitness-classification.ch//storage/media/5/622b4e6da7d92.png,Zürcherstrasse 65,Thalwil,8800
Studio für ganzheitliche Gesundheit & Fitness,Cori Wiederkehr,,www.ffwo.ch,info@ffwo.ch,https://admin.fitness-classification.ch//storage/media/201/624c155710dd9.png,Solothurnerstrasse 72,Olten,4600
Alp'Sports Thérapies SA,,+41 27 776 15 94,www.ast-sa.ch,info@ast-sa.ch,https://admin.fitness-classification.ch//storage/media/397/624c296ef0e36.png,Route de Corberaye 6c,Le Châble VS,1934
Sana Center,Javier Cancela,+41 32 322 83 30,www.sanacenter.ch,info@sanacenter.ch,,rue du Marché-Neuf 29,Biel/Bienne,2503
Budget Fitness,Anton Obrist,+41 62 871 55 66,www.vitamare-fitness.ch,toeni@vitamare-fitness.ch,https://admin.fitness-classification.ch//storage/media/217/624c175512f65.png,Juraweg 13,Frick,5070
Sportarena - Fitness in Riehen,Christian Gugler,+41 61 641 50 50,www.sportarena.ch,fitness@sportarena.ch,https://admin.fitness-classification.ch//storage/media/152/624b1c3772c79.jpg,Baselstrasse 60,Riehen,4125
4 Balance medizinisches Trainingszentrum,Johannes Weitz,+49 61 461 28 27,www.4balance.ch,info@4balance.ch,https://admin.fitness-classification.ch//storage/media/161/624b1d781b5d0.jpg,Neue Bahnhofstrasse 160,Muttenz,4132
4-Training Fitness GmbH,,+41 32 652 05 40,www.4-trainingfitness.ch,fitness@4-training.ch,https://admin.fitness-classification.ch//storage/media/402/624c29b2421e9.jpg,Sportstrasse 44,Grenchen,2540
E. Bezemer Physio Training Center GmbH,Sandra Bezemer,+41 81 723 51 11,www.bezemer.ch,info@bezemer.ch,,Grossfeldstrasse 5,Mels,8887
Harmony Gland,Margaux Fournier,+41 22 950 44 40,www.harmony.ch,gland@harmony.ch,,Route de Suisse 35,Gland,1196
inicio fitness Fit@Roche Basel,Jürg Bühler,+41 61 688 34 34,www.iniciofitness.ch,basel@iniciofitness.ch,https://admin.fitness-classification.ch//storage/media/144/624b1af324228.JPG,Grenzacherstrasse 124,Basel,4070
inicio fitness Fit@Roche Kaiseraugst,,+41 61 687 48 48,www.iniciofitness.ch,Kaiseraugst@iniciofitness.ch,https://admin.fitness-classification.ch//storage/media/180/624b20685f3ce.JPG,Wurmisweg,Kaiseraugst,4303
Med. Trainingstherapie Bethesda Spital AG,Claudia Picenoni,+41 61 315 23 64,www.bethesda-spital.ch,physiotherapie@bethesda-spital.ch,,Gellertstrasse 144,Basel,4052
Physic Wellness Club Delémont SA,Romain Brucker,+41 32 423 13 13,www.physicclub.ch,romain@physicclub.ch,https://admin.fitness-classification.ch//storage/media/72/6247190e38e21.jpg,Moulins 28,Delémont,2800
well come Fit SG AG,Jacqueline Würmli,+41 71 920 10 10,www.wellcomefit.ch,info@wellcomefit.ch,,Rittmeyerstrasse 15,St. Gallen,9014
Fitness- und Gesundheitscenter proFIT,,+41 62 771 57 55,profit-fitness.ch,info@profit-fitness.ch,https://admin.fitness-classification.ch//storage/media/447/631868f552856.jpg,Hauptstrasse 35,Menziken,5737
Fitness Energy,,+41 32 941 33 66,www.fitness-energy.ch,admin@fitness-energy.ch,,Rue des Noyes 1,St-Imier,2610
egymtraining.ch Muri,Niki Schönbächler,,www.egymtraining.ch,training@egymtraining24.ch,,Zürcherstrasse 34,Muri AG,5630
Aktiv Physio Hinwil,Markus Angst,+41 44 937 22 62,www.aktivphysio.ch,hinwil@aktivphysio.ch,https://admin.fitness-classification.ch//storage/media/308/624c2102060bb.png,Untere Bahnhofstrasse 25,Hinwil,8340
FEEL IT-FITNESS GmbH,,+41 31 505 11 95,www.feelit-fitness.ch,info@feelit-fitness.ch,,Bahnstrasse 2,Laupen BE,3177
L!FE Swiss Health Club Arlesheim,Anne-Kathrin Wilm,+41 61 272 69 69,www.life-swiss-healthclub.ch,info@life-swiss-healthclub.ch,https://admin.fitness-classification.ch//storage/media/169/624b1f3604f05.png,Altenmatteweg 2,Arlesheim,4144
Fitness Zentrum Wetzikon,Markus Egli,+41 44 930 22 44,www.fzw.ch,box@fzw.ch,https://admin.fitness-classification.ch//storage/media/342/624c24a4d791a.jpg,Breitistrasse 21,Wetzikon ZH,8623
World of Bonnie,,+41 44 912 22 00,www.bonnie.ch,fit@bonnie.ch,https://admin.fitness-classification.ch//storage/media/347/624c2513dac23.jpg,Dorfstrasse 9,Küsnacht ZH,8700
fit xperience AG,Judy Shepherd,+41 43 244 55 50,www.fit-x.ch,info@fit-x.ch,https://admin.fitness-classification.ch//storage/media/286/624c1ea7af055.gif,Gewerbestrasse 13,Egg b. Zürich,8132
bxa-Fitnesscenter,Anna Berta,+41 44 836 77 77,www.bxa.io,info@bxa.io,,Grindelstrasse 20,Bassersdorf,8303
David Gym Zürich West AG,Kathi Fleig,+41 43 311 12 30,www.davidgym.ch,info@davidgymzhwest.ch,,Zürcherstrasse 113,Schlieren,8952
Iron-Gym,,+41 71 672 93 94,www.iron-gym.com,info@iron-gym.com,,Hafenstrasse 50c,Kreuzlingen,8280
Fitness Factory,Pascal Jörg,+41 62 296 13 13,www.fitnessfactory.ch,info@baufactory.ch,,Unterführungsstrasse 49,Olten,4601
Chili Health Hinwil AG,Martin Steiner,+41 55 525 72 62,www.chili-health.ch,hinwil@chili-health.ch,,Gossauerstrasse 14,Hinwil,8340
Fit-Style fitness,,+41 26 677 18 08,www.fit-style.ch,staubin@fit-style.ch,https://admin.fitness-classification.ch//storage/media/484/63bbcb11cc2a0.png,Les Vernettes 10,St-Aubin FR,1566
T'Chip Fit Sàrl Fitline,,+41 26 424 95 24,www.fitline-fribourg.ch,office@fitline-fribourg.ch,,Avenue due Midi 4,Fribourg,1700
ACTIVA Gesundheitszentrum,Danja Lienhard,+41 62 797 14 01,www.activa-gesundheitszentrum.ch,info@activa-gesundheitszentrum.ch,,Bernstrasse 36,Rothrist,4852
active training niederhasli GmbH,Anna Derks,+41 44 850 28 04,www.activetraining.ch,info@activetraining.ch,https://admin.fitness-classification.ch//storage/media/448/632c12bbe68fb.jpeg,Mandachstrasse 56,Niederhasli,8155
Aemme Fit Burgdorf GmbH,Simon Arni,+41 34 423 08 30,www.aemmefit.ch,burgdorf@aemmefit.ch,https://admin.fitness-classification.ch//storage/media/435/62d6c1de72201.png,Kirchbergstrasse 107,Burgdorf,3400
Actifit Fitness women only,Gabriella Bucher,+41 61 281 22 22,www.actifit.ch,info@actifit.ch,https://admin.fitness-classification.ch//storage/media/138/624b1a268e0d6.jpg,Elisabethenstrasse 44,Basel,4051
Therme Zurzach Fitness,,+41 56 265 28 00,www.thermalbad.ch,fitness@thermezurzach.ch,,Badstrasse 25,Bad Zurzach,5330
Airportfitness Belp,Mike Kobi,+41 31 812 11 33,www.airportfitness.ch,mail@airportfitness.ch,https://admin.fitness-classification.ch//storage/media/96/624b12a42eceb.jpg,Hühnerhubelstrasse 64,Belp,3123
Laufsportklinik,Barbara Meses,+41 61 281 11 45,www.laufsportklinik.ch,info@laufsportklinik.ch,,Rümelinbachweg 20a,Basel,4054
well come Fit Holding GmbH,Michael Horsley,+41 43 444 04 04,www.wellcomefit.ch,info@wellcomefit.ch,https://admin.fitness-classification.ch//storage/media/292/624c1f67722ae.jpg,Feldstrasse 72,Bülach,8180
well come FIT SG AG,Jacqueline Würmli,+41 71 245 43 25,www.wellcomefit.ch,info@wellcomefit.ch,,Heiligkreuzstrasse 2,St. Gallen,9008
Medical Fitness Team,Philipp Spreng,+41 61 262 21 21,www.mft-bs.ch,info@mft-bs.ch,,Schützenmattstrasse 9,Basel,4051
AMERICAN FITNESS,,+41 22 342 71 77,www.american-fitness.ch,info@american-fitness.ch,,ch. de la Gravière 6,Carouge GE,1227
bodystation Muri AG,Brigitte Tauss,+41 56 664 08 44,www.bodystation-muri.ch,admin@bodystation-muri.ch,,Luzernerstrasse 93,Muri AG,5630
Charly's Fitness & Gesundheit,,+41 52 242 32 32,www.charlys.ch,fitness@charlys.ch,https://admin.fitness-classification.ch//storage/media/312/624c2209a72dd.jpg,Pflanzschulstrasse 36,Winterthur,8400
Gesundheitszentrum Dy-Fit,Rocco David,+41 61 411 16 05,www.dy-fit.ch,info@dy-fit.ch,https://admin.fitness-classification.ch//storage/media/165/624b1ed7f3357.jpg,Tramstrasse 66,Münchenstein,4142
"Fitness Center Baden, Sportmedizinisches Trainingszentrum",Dino Vock,+41 56 221 13 73,www.fitnesscenterbaden.ch,fitnesscenter@bluewin.ch,https://admin.fitness-classification.ch//storage/media/232/624c18d9853b0.jpg,Mellingerstrasse 2b,Baden,5400
"Fitness La Tour, B. Duperrex",,+41 21 944 31 01,fitnesslatour.ch,info@fitnesslatour.ch,https://admin.fitness-classification.ch//storage/media/30/624714ae70adb.jpg,Grand-Rue 55,La Tour-de-Peilz,1814
Fitness Lodge GmbH,Kuno Schibli,+41 43 422 06 22,www.fitness-lodge.ch,info@fitness-lodge.ch,https://admin.fitness-classification.ch//storage/media/288/624c1ee834e18.png,Ruchwiesenstrasse 5,Dielsdorf,8157
Fitness- & Gesundheitscenter Ambiente,André Moser,+41 31 791 15 31,www.fitness-ambiente.ch,contact@fitness-ambiente.ch,https://admin.fitness-classification.ch//storage/media/420/628533e1de663.jpeg,Haldenweg 3,Konolfingen,3510
fitneXX Traing-Center,Roberto Borghi,+41 62 388 46 46,www.fitnexx.ch,roberto.borghi@fitnexx.ch,https://admin.fitness-classification.ch//storage/media/208/624c15ea80371.png,Gummertliweg 4,Oensingen,4702
L.A.S. Fitness und Sport AG Eurofit,Monica Klingenfuss,+41 52 620 27 27,www.eurofit.ch,Info@eurofit.ch,https://admin.fitness-classification.ch//storage/media/293/624c1fb3948ea.png,Rheinweg 1,Schaffhausen,8200
LYSSPARK Fitness & Health,Rolf Hugi,+41 32 385 12 51,www.lyssparkfitness.ch,info@lyssparkfitness.ch,https://admin.fitness-classification.ch//storage/media/419/628368f6a73dc.jpg,Werkstrasse 65,Lyss,3250
Physio in Fit GmbH,Lena Keller,+41 32 322 22 33,www.physioinfit.ch,info@physioinfit.ch,https://admin.fitness-classification.ch//storage/media/196/624c149272be2.jpg,Allmendweg 8,Zuchwil,4528
Sportiver Input AG,Hanspeter Grossen,+41 33 438 26 66,www.input.ch,info@input.ch,https://admin.fitness-classification.ch//storage/media/132/624b192cb3d25.png,Bernstrasse 130,Steffisburg,3613
ValMoving training center Sagl,Laetitia Grossini,+41 91 796 30 30,www.valmoving.com,info@valmoving.com,https://admin.fitness-classification.ch//storage/media/258/624c1bddcd49c.png,via ValleMaggia 10,Avegno,6670
VO2 Studio,,+41 26 912 11 48,www.vo2studio.ch,info@vo2training.ch,,chemin des Préalpes 16,Bulle,1630
Planet Wellness Village,Matteo Donataccio,+41 91 994 74 84,www.wellnessvillage.ch,info@wellnessvillage.ch,https://admin.fitness-classification.ch//storage/media/269/624c1cf4a9c46.jpg,Via Senago 17a,Pazzallo,6912
Daytona Gesundheitszentrum-Fitness & Praxis mit Charme,Urs Rüegsegger,+41 33 223 05 15,www.daytona-gesundheitszentrum.ch,info@daytona-gesundheitszentrum.ch,https://admin.fitness-classification.ch//storage/media/126/624b18a8a7ba4.jpg,Bernstrasse 2B,Thun,3600
Sportzentrum Heimberg,,+41 33 437 33 86,www.sportzentrum-heimberg.ch,fitness@sportzentrum-heimberg.ch,,Schützenstrasse 70,Heimberg,3627
Physiotherapien Medwell & Klinik Hohmad,,+41 33 335 22 77,www.medwell.ch,info@medwell.ch,https://admin.fitness-classification.ch//storage/media/130/624b18fd1fc5a.JPG,Frutigenstrasse 46c,Thun,3600
Team Training Rehabilitations GmbH,,+41 44 760 06 06,www.tt-hedingen.ch,info@tt-hedingen.ch,,Maienbrunnenstrasse 12,Hedingen,8908
Fabrik11,Sven Riederer,+41 44 830 91 40,www.fabrik11.ch,gruezi@fabrik11.ch,https://admin.fitness-classification.ch//storage/media/334/624c2401d18f2.png,Ringstrasse 20,Dübendorf,8600
PhysioFit GmbH,Jürg Abplanalp,+41 44 734 13 13,www.physiofit.ch,marcus@physiofit.ch,,Schulstrasse 33,Urdorf,8902
FITplus,Monika Kaufmann,+41 41 784 58 19,www.buel-cham.ch,fitplus@buel-cham.ch,,Rigistrasse 3,Cham,6330
arena Fitness - health medical gmbh,Giovanni Arena,+41 56 491 22 20,www.arenafitness.ch,info@arenafitness.ch,https://admin.fitness-classification.ch//storage/media/238/624c1999a90c3.png,Stetterstrasse 25,Mellingen,5507
Aristote Concept Sàrl,,+41 32 422 16 48,www.aristoteconcept.ch,info@aristoteconcept.ch,https://admin.fitness-classification.ch//storage/media/76/62471977decee.png,Rue des moulins 12,Delémont,2800
Athletgym,Michel Brügger,,www.athletgym.ch,info@athletgym.ch,https://admin.fitness-classification.ch//storage/media/475/63aac9bbe21ce.jpg,Fabrikstrasse 21,Biberist,4562
Axis Fitnessclub Muttenz,Remo Steiner,+41 61 461 08 00,www.axis-fit.ch,info@axis-fit.ch,https://admin.fitness-classification.ch//storage/media/155/624b1cb52d4c3.jpg,Herrenmattstrasse 24,Muttenz,4132
Axis Physio & Fitness,Ivona Gisiger,+41 44 500 89 66,www.axis-fitness.ch,info@axis-fitness.ch,https://admin.fitness-classification.ch//storage/media/350/624c25649a821.png,Gotthardstasse 52,Thalwil,8800
Beat bewegt mich GmbH,Yvonne Schleiss,+41 41 671 05 05,www.beat-premiumtraining.ch,info@beat-premiumtraining.ch,,Allmendweg 5,Alpnach Dorf,6055
BIG Fitness Training,Isabel Giss,+41 61 761 33 66,www.big24.ch,bigfitnesslaufen@gmail.com,https://admin.fitness-classification.ch//storage/media/178/624b202371677.jpg,BKW Strasse 14,Laufen,4242
Bodyactive Fitness,,+41 32 355 38 38,www.bodyactive.ch,info@bodyactive.ch,,Hauptstrasse 116,Orpund,2552
BodyBrain Sàrl,,+41 21 922 45 45,www.bodybrain.ch,info@bodybrain.ch,https://admin.fitness-classification.ch//storage/media/26/624714573ee39.png,Rue du Collège 2,Vevey,1800
bodystation Frauenfeld,Jorge Felix Ayes Perez,+41 52 720 77 45,www.bodystation-frauenfeld.ch,info@bodystation-frauenfeld.ch,https://admin.fitness-classification.ch//storage/media/471/63a6ad132fddc.png,Gewerbestrasse 1,Frauenfeld,8500
Bodystation Kreuzlingen AG,Thomas Poosch,+41 71 688 77 11,www.bodystation-kreuzlingen.ch,info@bodystation-kreuzlingen.ch,https://admin.fitness-classification.ch//storage/media/490/63cf86828dd85.png,Romanshornstrasse 1,Kreuzlingen,8280
Bodystation Winterthur,Theodoros Demertzis,+41 52 202 00 20,www.bodystation-winterthur.ch,info@bodystation-winterthur.ch,https://admin.fitness-classification.ch//storage/media/313/624c222593e25.JPG,Lagerhausstrasse 11,Winterthur,8400
CENTRAL-Training & Therapie,,+41 61 713 00 30,www.trainingcentral.ch,info@trainingcentral.ch,https://admin.fitness-classification.ch//storage/media/151/624b1bf9ef9d2.jpg,Baslerstrasse 200,Allschwil,4123
Centre Thérapies & Fitness TheraFit SA,,+41 21 931 40 11,www.thera-fit.ch,secretariat@thera-fit.ch,https://admin.fitness-classification.ch//storage/media/22/624713b119746.png,Rte de la Coula 57,Châtel-St-Denis,1618
Check Point FitnessGmbH,Roger Disch,+41 71 393 73 73,checkpoint-fitness.ch,info@checkpoint-fitness.ch,,Waldau 1a,Flawil,9230
Chili Fitness GmbH,Martin Steiner,+41 55 240 38 34,www.chilifitness.ch,duernten@chilifitness.ch,,Bubikonerstrasse 45a,Dürnten,8635
CSM Centro Sportivo Minusio SA,Gigliola Busschetti,+41 91 743 45 58,csm-minusio.ch,info@csm-minusio.ch,,Via S. Gottardo 51,Minusio,6648
dr. rickli Premium Training AG,Heidi Harms,+41 43 530 30 30,www.rickli-training.ch,info@rickli-training.ch,https://admin.fitness-classification.ch//storage/media/361/624c263c2e4ea.jpg,Ottenbacherstrasse 23,Obfelden,8912
egymtraining.ch,Niki Schönbächler,,www.egymtraining.ch,info@egymtraining.ch,https://admin.fitness-classification.ch//storage/media/473/63a94c505a3fc.png,Gotthardstrasse 22,Arth,6415
Elson Sport und Fitness GmbH,Merita Noja-Kabashi,+41 71 670 10 66,www.elson.ch,elsonkabashi@elson.ch,,Romanshornerstrasse 122,Kreuzlingen,8280
Enggist AG Therapie&Fitness,,+41 81 740 08 40,medicalfitness.ch,info@medicalfitness.ch,,Bahnhofstrasse 43,Buchs SG,9470
ERGONIC Medical Training,Markus Friedlin,+41 61 461 78 89,www.ergonic.ch,welcome@ergonic.ch,,Hauptstrasse 80,Muttenz,4132
Fitness AdeRycke,Damien Ryckebusch,+41 22 959 70 70,www.esbellevue.ch,infofitness@esbellevue.ch,https://admin.fitness-classification.ch//storage/media/16/6247125dc3133.jpg,Chemin des Limites 1a,Bellevue,1293
Esprit Fitness Sàrl,Stéphanie Mundwiler,+41 32 753 34 50,www.espritfitness.ch,info@espritfitness.ch,https://admin.fitness-classification.ch//storage/media/52/624716e334cb4.png,Champs-Montants 14a,Marin,2074
Fit 4 Life AG,Roman Poppe,+41 56 268 6770,www.fit4life.ch,info@fit4life.ch,https://admin.fitness-classification.ch//storage/media/228/624c188e6f245.png,Hardstrasse 10,Siggenthal Station,5301
FITIN Fitnesscenter,Norbert Ebneter,+41 81 756 21 52,www.fitin.ch,kontakt@fitin.ch,https://admin.fitness-classification.ch//storage/media/498/6414232e90b88.png,Werdenstrasse 72,Grabs,9472
Fitness Center Galaxy AG,Mario Winzer,+41 81 322 61 81,www.galaxy-malans.ch,info@galaxy-malans.ch,https://admin.fitness-classification.ch//storage/media/273/624c1d815b96c.png,Karlihofstrasse 7,Malans GR,7208
